,Iteration,LWT
0,1,33.349999999999994
1,2,150.85
2,3,111.63333333333333
3,4,111.63333333333333
4,5,130.825
5,6,130.825
6,7,130.825
7,8,104.66
8,9,86.3
9,10,86.3
10,11,86.3
11,12,86.3
12,13,120.56666666666666
13,14,120.56666666666666
14,15,120.56666666666666
15,16,102.975
16,17,104.3
17,18,104.3
18,19,104.3
19,20,104.3
20,21,103.44000000000001
21,22,103.44000000000001
22,23,103.44000000000001
23,24,103.44000000000001
24,25,103.44000000000001
25,26,103.44000000000001
26,27,103.44000000000001
27,28,103.44000000000001
28,29,103.44000000000001
29,30,103.44000000000001
30,31,102.0
31,32,106.22857142857143
32,33,106.22857142857143
33,34,106.22857142857143
34,35,106.22857142857143
35,36,106.22857142857143
36,37,106.22857142857143
37,38,119.125
38,39,119.125
39,40,119.125
40,41,105.88888888888889
41,42,105.88888888888889
42,43,105.88888888888889
43,44,101.97
44,45,101.97
45,46,101.97
46,47,101.97
47,48,101.97
48,49,101.97
49,50,101.97
50,51,101.97
51,52,101.97
52,53,101.97
53,54,101.97
54,55,101.97
55,56,101.97
56,57,101.97
57,58,101.97
58,59,101.97
59,60,101.97
60,61,101.97
61,62,101.97
62,63,101.97
63,64,101.97
64,65,101.97
65,66,101.97
66,67,101.97
67,68,101.97
68,69,101.97
69,70,101.97
70,71,101.97
71,72,101.97
72,73,101.97
73,74,101.97
74,75,101.97
75,76,101.97
76,77,101.97
77,78,101.97
78,79,101.97
79,80,101.97
80,81,101.97
81,82,101.97
82,83,102.18888888888888
83,84,102.18888888888888
84,85,102.18888888888888
85,86,102.18888888888888
86,87,102.18888888888888
87,88,102.18888888888888
88,89,102.18888888888888
89,90,124.63333333333333
90,91,124.63333333333333
91,92,124.63333333333333
92,93,124.63333333333333
93,94,124.63333333333333
94,95,124.63333333333333
95,96,124.63333333333333
96,97,124.63333333333333
97,98,124.63333333333333
98,99,124.63333333333333
99,100,124.63333333333333
