individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,210.9,12,0.00010323452085192598,5
0,2,245.3,12,0.00010323452085192598,5
1,1,245.3,4,0.00015391744667454685,10
1,2,245.3,4,0.00015391744667454685,10
2,1,278.0,0,0.00016797002654211904,7
2,2,278.0,0,0.00016797002654211904,7
3,1,278.0,13,0.00011734066108796897,8
3,2,245.3,13,0.00011734066108796897,8
4,1,278.0,15,0.00013189134398727722,5
4,2,210.9,15,0.00013189134398727722,5
5,1,210.9,3,0.00012783714030729156,4
5,2,278.0,3,0.00012783714030729156,4
6,1,210.9,3,2.1236870789586537e-05,2
6,2,278.0,3,2.1236870789586537e-05,2
7,1,278.0,4,0.00011533341352249544,8
7,2,245.3,4,0.00011533341352249544,8
8,1,234.4,0,8.92447960635809e-05,4
8,2,278.0,0,8.92447960635809e-05,4
9,1,210.9,15,6.185400823671802e-05,4
9,2,278.0,15,6.185400823671802e-05,4
10,1,245.3,4,0.00011129952584434351,8
10,2,278.0,4,0.00011129952584434351,8
11,1,245.3,9,0.00011243529388570192,5
11,2,210.9,9,0.00011243529388570192,5
12,1,210.9,0,6.994862394172557e-05,2
12,2,278.0,0,6.994862394172557e-05,2
13,1,278.0,0,0.00011971666787267744,7
13,2,210.9,0,0.00011971666787267744,7
14,1,245.3,4,0.00010882280234062689,8
14,2,306.0,4,0.00010882280234062689,8
15,1,202.0,13,0.00234895645781316,125
15,2,351.1,13,0.00234895645781316,125
16,1,210.9,12,0.0001008298268092563,8
16,2,374.2,12,0.0001008298268092563,8
17,1,278.0,13,6.709113630859951e-05,4
17,2,379.5,13,6.709113630859951e-05,4
18,1,282.1,9,9.297924378412661e-05,7
18,2,245.3,9,9.297924378412661e-05,7
19,1,210.9,16,6.497024365931458e-05,4
19,2,272.7,16,6.497024365931458e-05,4
