individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,162.8,11,0.0010355422379854228,5
0,2,213.3,11,0.0010355422379854228,5
1,1,191.2,7,0.0003183368933932957,4
1,2,145.0,7,0.0003183368933932957,4
2,1,172.9,9,0.0020812060516016938,8
2,2,163.2,9,0.0020812060516016938,8
3,1,167.9,4,0.0007509767237109999,5
3,2,167.9,4,0.0007509767237109999,5
4,1,249.3,2,0.001021196947186052,9
4,2,208.1,2,0.001021196947186052,9
5,1,153.6,18,0.001155467901932437,6
5,2,253.0,18,0.001155467901932437,6
6,1,172.2,16,0.00043716202358143704,3
6,2,278.0,16,0.00043716202358143704,3
7,1,194.1,7,0.00037181282922217276,5
7,2,145.0,7,0.00037181282922217276,5
8,1,153.6,18,0.0012624197735901911,7
8,2,233.9,18,0.0012624197735901911,7
9,1,191.2,7,0.0008392778831066399,7
9,2,176.6,7,0.0008392778831066399,7
10,1,167.9,4,0.0013352400914443507,9
10,2,163.2,4,0.0013352400914443507,9
11,1,165.9,16,0.0006036427667418698,5
11,2,278.0,16,0.0006036427667418698,5
12,1,153.6,18,0.0013693716452479452,7
12,2,253.0,18,0.0013693716452479452,7
13,1,154.7,16,0.000704541702725822,5
13,2,278.0,16,0.000704541702725822,5
14,1,194.1,7,0.0008637914388478412,7
14,2,152.9,7,0.0008637914388478412,7
15,1,165.9,16,0.0006571187025707469,6
15,2,163.5,16,0.0006571187025707469,6
16,1,153.6,18,0.0019184029254188282,11
16,2,255.5,18,0.0019184029254188282,11
17,1,154.7,16,0.003673537499020358,20
17,2,423.0,16,0.003673537499020358,20
18,1,134.8,1,0.006308642191462859,36
18,2,291.3,1,0.006308642191462859,36
19,1,164.1,1,0.03227290902754502,176
19,2,497.6,1,0.03227290902754502,176
