,Iteration,LWT
0,1,76.25
1,2,68.49999999999999
2,3,68.49999999999999
3,4,75.07499999999999
4,5,75.07499999999999
5,6,75.07499999999999
6,7,75.07499999999999
7,8,104.69999999999999
8,9,104.69999999999999
9,10,104.69999999999999
10,11,104.69999999999999
11,12,104.69999999999999
12,13,104.69999999999999
13,14,83.86666666666666
14,15,83.86666666666666
15,16,83.86666666666666
16,17,83.86666666666666
17,18,83.86666666666666
18,19,83.86666666666666
19,20,83.86666666666666
20,21,83.86666666666666
21,22,114.6
22,23,114.6
23,24,114.6
24,25,114.6
25,26,114.6
26,27,114.6
27,28,114.6
28,29,114.6
29,30,114.6
30,31,114.6
31,32,114.6
32,33,118.55
33,34,118.55
34,35,118.55
35,36,118.55
36,37,137.0
37,38,137.0
38,39,137.0
39,40,137.0
40,41,137.0
41,42,137.0
42,43,137.0
43,44,137.0
44,45,137.0
45,46,137.0
46,47,137.0
47,48,137.0
48,49,137.0
49,50,137.0
50,51,91.33333333333333
51,52,85.175
52,53,85.175
53,54,85.175
54,55,85.175
55,56,85.175
56,57,85.175
57,58,85.175
58,59,85.175
59,60,85.175
60,61,85.175
61,62,85.175
62,63,85.175
63,64,85.175
64,65,85.175
65,66,85.175
66,67,85.175
67,68,85.175
68,69,85.175
69,70,85.175
70,71,85.175
71,72,85.175
72,73,85.175
73,74,85.175
74,75,85.175
75,76,85.175
76,77,85.175
77,78,85.175
78,79,85.175
79,80,85.175
80,81,85.175
81,82,85.175
82,83,85.175
83,84,85.175
84,85,85.175
85,86,85.175
86,87,85.175
87,88,85.175
88,89,85.175
89,90,85.175
90,91,85.175
91,92,85.175
92,93,85.175
93,94,85.175
94,95,85.175
95,96,85.175
96,97,85.175
97,98,85.175
98,99,85.175
99,100,85.175
