,Iteration,LWT
0,1,73.375
1,2,89.18124999999999
2,3,100.07999999999998
3,4,102.77999999999997
4,5,107.05999999999999
5,6,107.05999999999999
6,7,109.525
7,8,110.75999999999999
8,9,116.095
9,10,117.4
10,11,117.4
11,12,117.64500000000001
12,13,120.13
13,14,124.25
14,15,124.25
15,16,129.7
16,17,130.14000000000001
17,18,130.78000000000003
18,19,130.78000000000003
19,20,130.78000000000003
20,21,130.78000000000003
21,22,130.78000000000003
22,23,135.94
23,24,135.94
24,25,135.94
25,26,135.94
26,27,135.94
27,28,135.94
28,29,135.94
29,30,135.94
30,31,140.935
31,32,141.21
32,33,141.21
33,34,141.21
34,35,141.21
35,36,141.21
36,37,141.21
37,38,141.21
38,39,141.21
39,40,141.21
40,41,145.66000000000003
41,42,146.25000000000003
42,43,152.45
43,44,152.45
44,45,152.45
45,46,152.45
46,47,152.45
47,48,152.45
48,49,152.45
49,50,152.45
50,51,152.45
51,52,152.45
52,53,154.625
53,54,154.625
54,55,154.625
55,56,154.625
56,57,154.625
57,58,154.625
58,59,154.845
59,60,154.845
60,61,154.845
61,62,154.845
62,63,154.845
63,64,154.845
64,65,154.845
65,66,154.845
66,67,154.845
67,68,154.845
68,69,154.845
69,70,154.845
70,71,154.845
71,72,154.975
72,73,155.28500000000003
73,74,155.28500000000003
74,75,155.945
75,76,155.945
76,77,155.945
77,78,155.945
78,79,155.945
79,80,155.945
80,81,155.945
81,82,155.945
82,83,155.945
83,84,155.945
84,85,155.945
85,86,155.945
86,87,155.945
87,88,155.945
88,89,155.945
89,90,155.945
90,91,155.945
91,92,155.945
92,93,155.945
93,94,155.945
94,95,155.945
95,96,155.945
96,97,155.945
97,98,155.945
98,99,155.945
99,100,157.48
