,Iteration,LWT,Hamming_distance
0,418,171.7,0.10115749525616712
1,1,156.0,0.10398481973434542
2,754,158.0,0.10269449715370027
3,120,192.2,0.10464895635673618
4,799,157.39999999999998,0.10254269449715377
5,342,147.8,0.10096774193548402
6,251,155.10000000000002,0.10371916508538907
7,101,74.7,0.10072106261859595
8,340,150.7,0.10166982922201129
9,9,39.5,0.09981024667931686
10,74,127.00000000000001,0.10332068311195447
11,183,192.8,0.1051043643263758
12,323,216.8,0.10216318785578744
13,66,206.0,0.10182163187855789
14,110,195.39999999999998,0.1023908918406072
15,125,146.10000000000002,0.10182163187855794
16,111,167.60000000000002,0.10075901328273267
17,20,193.8,0.10110056925996208
18,594,165.0,0.106584440227704
19,573,136.0,0.10305502846299816
