individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,173.2,19,0.0009148714973042239,6
0,2,219.4,19,0.0009148714973042239,6
1,1,219.4,19,0.0005321289176814602,4
1,2,121.3,19,0.0005321289176814602,4
2,1,88.7,1,0.0014331817391267973,12
2,2,102.4,1,0.0014331817391267973,12
3,1,189.3,19,0.0008228393996894947,5
3,2,219.4,19,0.0008228393996894947,5
4,1,110.4,5,0.0014875418149657325,10
4,2,98.0,5,0.0014875418149657325,10
5,1,112.4,18,0.001051693404634581,5
5,2,197.5,18,0.001051693404634581,5
6,1,103.0,15,0.0006261859582542694,4
6,2,223.3,15,0.0006261859582542694,4
7,1,107.1,19,0.0005739394520785125,4
7,2,219.4,19,0.0005739394520785125,4
8,1,92.9,19,0.00028448605125558867,5
8,2,219.4,19,0.00028448605125558867,5
9,1,255.4,15,0.0004211243240529829,5
9,2,76.4,15,0.0004211243240529829,5
10,1,266.4,5,0.0009420040313097588,8
10,2,114.3,5,0.0009420040313097588,8
11,1,259.1,1,0.0007858154163813772,6
11,2,85.8,1,0.0007858154163813772,6
12,1,84.9,14,0.00139818269877676,9
12,2,256.4,14,0.00139818269877676,9
13,1,85.8,20,0.0017757991097766528,13
13,2,286.5,20,0.0017757991097766528,13
14,1,132.5,20,0.0009363702089200864,10
14,2,222.8,20,0.0009363702089200864,10
15,1,199.8,18,0.0018429285212861139,16
15,2,70.1,18,0.0018429285212861139,16
16,1,104.9,18,0.0008013924460694092,8
16,2,195.1,18,0.0008013924460694092,8
17,1,238.5,20,0.00022367891438100166,3
17,2,85.8,20,0.00022367891438100166,3
18,1,73.1,18,0.000975296475826428,7
18,2,108.9,18,0.000975296475826428,7
19,1,239.8,0,0.0002099672995818734,2
19,2,80.7,0,0.0002099672995818734,2
