,Iteration,LWT,Hamming_distance
0,55,153.5,0.15497058823529417
1,130,94.80000000000001,0.15336274509803915
2,259,114.6,0.15029411764705883
3,87,159.39999999999998,0.15545098039215666
4,189,114.6,0.15201960784313714
5,23,114.6,0.15209803921568615
6,658,114.6,0.15143137254901964
7,7,50.19999999999999,0.15154901960784325
8,286,114.6,0.1525980392156861
9,27,100.0,0.15695098039215688
10,275,42.19999999999999,0.14921568627450965
11,11,50.19999999999999,0.15391176470588236
12,445,94.80000000000001,0.15302941176470578
13,68,61.89999999999998,0.1513039215686274
14,14,114.6,0.14987254901960786
15,65,94.80000000000001,0.1498921568627451
16,225,114.6,0.14943137254901961
17,17,114.6,0.15467647058823525
18,21,70.10000000000002,0.15369607843137265
19,469,114.6,0.15471568627450968
