individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,156.5,8,0.0008360112988132577,9
0,2,266.8,8,0.0008360112988132577,9
1,1,194.1,8,0.0010908590666473242,11
1,2,266.8,8,0.0010908590666473242,11
2,1,164.2,3,0.0015364335035825709,10
2,2,208.7,3,0.0015364335035825709,10
3,1,154.3,3,0.0013565412558424169,7
3,2,250.0,3,0.0013565412558424169,7
4,1,346.1,8,0.0009682712782366113,8
4,2,172.9,8,0.0009682712782366113,8
5,1,366.7,6,0.003607115284246193,21
5,2,177.1,6,0.003607115284246193,21
6,1,241.1,3,0.0011446218082436649,9
6,2,167.3,3,0.0011446218082436649,9
7,1,157.6,9,0.0013356352831123094,6
7,2,278.6,9,0.0013356352831123094,6
8,1,170.0,20,0.0024727351098616157,8
8,2,315.7,20,0.0024727351098616157,8
9,1,162.1,12,0.001622467730182472,9
9,2,291.6,12,0.001622467730182472,9
10,1,296.6,8,0.0010427807486631014,8
10,2,157.7,8,0.0010427807486631014,8
11,1,149.4,6,0.002156572604379791,15
11,2,395.2,6,0.002156572604379791,15
12,1,296.5,12,0.0012211347503539216,7
12,2,157.7,12,0.0012211347503539216,7
13,1,157.6,9,0.0015541696055920455,7
13,2,292.1,9,0.0015541696055920455,7
14,1,300.1,20,0.0008899482915880869,7
14,2,178.8,20,0.0008899482915880869,7
15,1,151.0,3,0.003816295069775508,21
15,2,409.7,3,0.003816295069775508,21
16,1,162.8,15,0.0009479889413031987,7
16,2,264.8,15,0.0009479889413031987,7
17,1,430.5,19,0.03354567465220633,176
17,2,167.9,19,0.03354567465220633,176
18,1,163.4,19,0.0010089126559714794,7
18,2,273.7,19,0.0010089126559714794,7
19,1,162.8,15,0.0004385376907800283,2
19,2,343.4,15,0.0004385376907800283,2
