,Iteration,LWT,Hamming_distance
0,284,155.0,0.10349146110056924
1,331,156.5,0.10142314990512344
2,537,147.8,0.1013092979127135
3,208,144.7,0.10185958254269449
4,54,93.10000000000001,0.10259962049335868
5,149,165.3,0.10134724857685005
6,120,155.8,0.10290322580645163
7,79,173.09999999999997,0.10049335863377613
8,104,195.39999999999998,0.10299810246679313
9,42,43.7,0.10056925996204935
10,691,151.89999999999998,0.10104364326375707
11,287,151.8,0.10442125237191656
12,491,158.0,0.10206831119544588
13,640,134.60000000000002,0.1007400379506642
14,30,167.60000000000002,0.10313092979127142
15,467,203.09999999999997,0.1001328273244782
16,717,197.0,0.102068311195446
17,797,135.5,0.10066413662239085
18,381,147.8,0.10189753320683115
19,197,117.10000000000001,0.10174573055028471
