,Iteration,LWT
0,1,61.5625
1,2,81.00625000000001
2,3,77.485
3,4,81.58500000000001
4,5,92.38
5,6,102.875
6,7,108.65500000000002
7,8,108.65500000000002
8,9,111.39500000000001
9,10,115.35499999999999
10,11,117.92
11,12,117.92
12,13,117.92
13,14,122.92
14,15,122.92
15,16,126.14000000000001
16,17,126.8
17,18,133.28
18,19,134.07999999999998
19,20,134.07999999999998
20,21,134.07999999999998
21,22,134.07999999999998
22,23,134.07999999999998
23,24,134.07999999999998
24,25,135.09499999999997
25,26,135.09499999999997
26,27,135.41
27,28,135.41
28,29,135.41
29,30,135.41
30,31,136.09499999999997
31,32,136.09499999999997
32,33,136.09499999999997
33,34,136.435
34,35,136.435
35,36,139.395
36,37,139.395
37,38,139.66000000000003
38,39,139.66000000000003
39,40,139.74500000000003
40,41,139.74500000000003
41,42,140.65000000000003
42,43,140.65000000000003
43,44,140.84
44,45,140.84
45,46,140.84
46,47,140.84
47,48,141.40000000000003
48,49,141.40000000000003
49,50,141.40000000000003
50,51,141.40000000000003
51,52,141.40000000000003
52,53,141.40000000000003
53,54,141.40000000000003
54,55,141.40000000000003
55,56,141.40000000000003
56,57,141.40000000000003
57,58,141.40000000000003
58,59,143.055
59,60,143.055
60,61,143.055
61,62,144.055
62,63,144.055
63,64,144.055
64,65,144.055
65,66,144.055
66,67,144.055
67,68,144.50500000000002
68,69,144.50500000000002
69,70,144.50500000000002
70,71,144.50500000000002
71,72,144.50500000000002
72,73,144.50500000000002
73,74,144.50500000000002
74,75,144.50500000000002
75,76,144.50500000000002
76,77,144.75000000000003
77,78,144.75000000000003
78,79,144.75000000000003
79,80,144.75000000000003
80,81,145.28000000000003
81,82,145.28000000000003
82,83,145.28000000000003
83,84,145.28000000000003
84,85,145.28000000000003
85,86,145.28000000000003
86,87,145.54500000000002
87,88,145.54500000000002
88,89,145.54500000000002
89,90,147.82999999999998
90,91,147.82999999999998
91,92,147.82999999999998
92,93,147.82999999999998
93,94,147.82999999999998
94,95,147.82999999999998
95,96,147.82999999999998
96,97,147.82999999999998
97,98,147.82999999999998
98,99,147.82999999999998
99,100,149.73999999999998
