,Iteration,LWT,Hamming_distance
0,364,0.0,0.04686274509803917
1,495,0.0,0.047980392156862735
2,513,0.0,0.04672549019607839
3,589,0.0,0.04637254901960782
4,340,0.0,0.04603921568627447
5,226,0.0,0.04678431372549017
6,95,0.0,0.047294117647058806
7,21,0.0,0.04645098039215684
8,491,0.0,0.04537254901960783
9,604,0.0,0.045568627450980365
10,381,0.0,0.04564705882352939
11,465,0.0,0.045960784313725404
12,145,0.0,0.04815686274509802
13,635,0.0,0.04545098039215682
14,708,0.0,0.04668627450980389
15,531,0.0,0.04617647058823527
16,35,0.0,0.04725490196078428
17,537,0.0,0.046156862745098025
18,144,0.0,0.04639215686274508
19,638,0.0,0.04633333333333328
