individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,240.0,15,0.00012607478871185643,6
0,2,240.0,15,0.00012607478871185643,6
1,1,278.0,6,0.0001188830499883434,9
1,2,214.8,6,0.0001188830499883434,9
2,1,278.0,11,7.180615152839595e-05,5
2,2,278.0,11,7.180615152839595e-05,5
3,1,278.0,6,5.96674901443196e-05,5
3,2,210.9,6,5.96674901443196e-05,5
4,1,278.0,6,8.67033705713796e-05,4
4,2,278.0,6,8.67033705713796e-05,4
5,1,266.8,2,9.398843837687032e-05,6
5,2,266.8,2,9.398843837687032e-05,6
6,1,210.9,11,4.923386600422408e-05,3
6,2,278.0,11,4.923386600422408e-05,3
7,1,278.0,11,0.00013283029586376343,7
7,2,278.0,11,0.00013283029586376343,7
8,1,210.9,8,7.268224832565506e-05,4
8,2,213.3,8,7.268224832565506e-05,4
9,1,245.3,11,0.00011777406213122036,9
9,2,210.9,11,0.00011777406213122036,9
10,1,210.9,2,6.314688389391002e-05,5
10,2,266.8,2,6.314688389391002e-05,5
11,1,266.8,2,7.582064665934298e-05,8
11,2,210.9,2,7.582064665934298e-05,8
12,1,210.9,1,6.673259525474966e-05,4
12,2,278.0,1,6.673259525474966e-05,4
13,1,312.5,1,0.001553465418236209,84
13,2,245.3,1,0.001553465418236209,84
14,1,210.9,8,9.121042800628988e-05,4
14,2,412.8,8,9.121042800628988e-05,4
15,1,210.9,19,9.367231607147732e-05,8
15,2,278.0,19,9.367231607147732e-05,8
16,1,240.0,15,0.0001073737425222301,8
16,2,312.7,15,0.0001073737425222301,8
17,1,245.3,19,6.4628264624315e-05,6
17,2,315.9,19,6.4628264624315e-05,6
18,1,302.6,3,2.94451315784055e-05,4
18,2,245.3,3,2.94451315784055e-05,4
19,1,350.3,2,0.003862848040851779,222
19,2,185.9,2,0.003862848040851779,222
