,Iteration,LWT
0,1,148.82500000000002
1,2,164.43333333333334
2,3,126.68000000000002
3,4,136.13333333333335
4,5,136.13333333333335
5,6,149.79999999999998
6,7,149.79999999999998
7,8,149.79999999999998
8,9,149.79999999999998
9,10,149.79999999999998
10,11,149.79999999999998
11,12,149.79999999999998
12,13,149.79999999999998
13,14,149.79999999999998
14,15,149.79999999999998
15,16,149.79999999999998
16,17,149.79999999999998
17,18,149.79999999999998
18,19,149.79999999999998
19,20,149.79999999999998
20,21,163.175
21,22,163.175
22,23,163.175
23,24,163.175
24,25,163.175
25,26,163.175
26,27,163.175
27,28,163.175
28,29,163.175
29,30,163.175
30,31,166.2
31,32,150.01666666666668
32,33,150.01666666666668
33,34,160.27142857142857
34,35,160.27142857142857
35,36,160.27142857142857
36,37,160.27142857142857
37,38,160.27142857142857
38,39,160.27142857142857
39,40,182.23333333333335
40,41,182.26
41,42,182.26
42,43,182.26
43,44,182.26
44,45,182.26
45,46,182.26
46,47,182.26
47,48,159.0
48,49,159.0
49,50,159.0
50,51,159.0
51,52,159.0
52,53,159.0
53,54,159.0
54,55,159.0
55,56,159.0
56,57,159.0
57,58,163.35
58,59,163.35
59,60,163.35
60,61,163.35
61,62,163.35
62,63,172.3166666666667
63,64,172.3166666666667
64,65,172.3166666666667
65,66,177.01428571428573
66,67,177.01428571428573
67,68,170.625
68,69,170.625
69,70,172.55
70,71,173.7875
71,72,173.7875
72,73,173.7875
73,74,173.7875
74,75,171.34444444444443
75,76,171.34444444444443
76,77,171.34444444444443
77,78,171.34444444444443
78,79,171.34444444444443
79,80,168.32999999999998
80,81,168.32999999999998
81,82,168.32999999999998
82,83,168.32999999999998
83,84,168.32999999999998
84,85,168.32999999999998
85,86,168.32999999999998
86,87,168.32999999999998
87,88,168.32999999999998
88,89,168.32999999999998
89,90,168.32999999999998
90,91,168.32999999999998
91,92,168.32999999999998
92,93,168.32999999999998
93,94,168.32999999999998
94,95,168.32999999999998
95,96,168.32999999999998
96,97,168.32999999999998
97,98,168.32999999999998
98,99,168.32999999999998
99,100,168.32999999999998
