,Unnamed: 0,Installation,Mutation,Exec,Hamming_dist,Num_changes,LWT_diff
0,1642,CiuComs_Febrero_miercoles_oest,1_mass_capacity,42,0.1503731815306765,1034,176.89999999999998
1,1869,CiuComs_Febrero_miercoles_oest,1_mass_capacity,269,0.1553826691967109,1043,221.8
2,1923,CiuComs_Febrero_miercoles_oest,1_mass_capacity,323,0.153896268184693,1028,216.4
3,2061,CiuComs_Febrero_miercoles_oest,1_mass_capacity,461,0.1521568627450981,1035,204.4
4,2099,CiuComs_Febrero_miercoles_oest,1_mass_capacity,499,0.1478874130297278,1027,96.5
5,2126,CiuComs_Febrero_miercoles_oest,1_mass_capacity,526,0.1532258064516127,1036,205.2
6,2157,CiuComs_Febrero_miercoles_oest,1_mass_capacity,557,0.1493548387096775,1030,141.3
7,2164,CiuComs_Febrero_miercoles_oest,1_mass_capacity,564,0.1486970271979757,1042,127.8
8,2195,CiuComs_Febrero_miercoles_oest,1_mass_capacity,595,0.1502024035420621,1037,151.8
9,2232,CiuComs_Febrero_miercoles_oest,1_mass_capacity,632,0.1493421884882983,1036,141.2
