individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,176.9,8,0.0003953267334657309,5
0,2,266.8,8,0.0003953267334657309,5
1,1,232.7,15,0.00040129462789452886,6
1,2,238.8,15,0.00040129462789452886,6
2,1,194.2,12,0.0004739248535539737,6
2,2,146.9,12,0.0004739248535539737,6
3,1,149.7,19,0.0012963962521823085,5
3,2,163.4,19,0.0012963962521823085,5
4,1,247.0,9,0.00034581105169340467,3
4,2,230.5,9,0.00034581105169340467,3
5,1,213.7,3,0.00016042780748663101,2
5,2,213.7,3,0.00016042780748663101,2
6,1,210.7,3,0.000669824865059554,6
6,2,213.7,3,0.000669824865059554,6
7,1,176.9,8,0.0007286600667990641,7
7,2,266.8,8,0.0007286600667990641,7
8,1,176.9,8,0.0006092304767812389,6
8,2,249.7,8,0.0006092304767812389,6
9,1,187.4,12,0.0004797026557880572,7
9,2,146.9,12,0.0004797026557880572,7
10,1,149.4,6,0.00034919019057576256,4
10,2,149.4,6,0.00034919019057576256,4
11,1,213.7,3,0.0020805240541662707,11
11,2,183.5,3,0.0020805240541662707,11
12,1,194.2,12,0.0006700032849265228,7
12,2,146.9,12,0.0006700032849265228,7
13,1,213.7,3,0.0023188446396502304,13
13,2,158.3,3,0.0023188446396502304,13
14,1,352.6,6,0.0011569752996870148,9
14,2,149.4,6,0.0011569752996870148,9
15,1,208.7,3,0.0023893863523809047,14
15,2,183.5,3,0.0023893863523809047,14
16,1,176.9,8,0.0008070914393480838,8
16,2,266.8,8,0.0008070914393480838,8
17,1,149.4,6,0.0007713365982501513,9
17,2,182.6,6,0.0007713365982501513,9
18,1,183.5,20,0.0028378830399410377,21
18,2,300.8,20,0.0028378830399410377,21
19,1,470.6,20,0.049374072258378636,239
19,2,177.2,20,0.049374072258378636,239
