individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,249.7,1,7.928803549875892e-05,6
0,2,210.9,1,7.928803549875892e-05,6
1,1,245.3,14,8.223140441236397e-05,5
1,2,245.3,14,8.223140441236397e-05,5
2,1,278.0,5,9.232126277267052e-05,7
2,2,278.0,5,9.232126277267052e-05,7
3,1,278.0,15,4.600306204318729e-05,5
3,2,278.0,15,4.600306204318729e-05,5
4,1,249.7,1,0.0001082322936815419,8
4,2,245.3,1,0.0001082322936815419,8
5,1,222.5,15,9.332300956391554e-05,10
5,2,278.0,15,9.332300956391554e-05,10
6,1,245.3,14,0.00011214047120123972,7
6,2,245.3,14,0.00011214047120123972,7
7,1,278.0,5,7.140968867029681e-05,3
7,2,245.3,5,7.140968867029681e-05,3
8,1,278.0,5,4.504656452875378e-05,5
8,2,210.9,5,4.504656452875378e-05,5
9,1,268.7,2,6.181054570469589e-05,4
9,2,210.9,2,6.181054570469589e-05,4
10,1,249.7,1,0.00012471444070229334,6
10,2,210.9,1,0.00012471444070229334,6
11,1,278.0,14,0.00018855716724744054,11
11,2,245.3,14,0.00018855716724744054,11
12,1,278.0,14,2.7777955974205706e-05,4
12,2,245.3,14,2.7777955974205706e-05,4
13,1,278.0,4,0.00022628178595001953,10
13,2,245.3,4,0.00022628178595001953,10
14,1,210.9,15,4.956097042383148e-06,4
14,2,278.0,15,4.956097042383148e-06,4
15,1,393.6,6,5.646900709529103e-05,5
15,2,278.0,6,5.646900709529103e-05,5
16,1,210.9,4,0.0001781855348964115,6
16,2,278.0,4,0.0001781855348964115,6
17,1,278.0,4,0.00012649710829956218,6
17,2,210.9,4,0.00012649710829956218,6
18,1,278.0,13,0.00017390675124822114,8
18,2,210.9,13,0.00017390675124822114,8
19,1,179.7,13,0.0014047000214787576,80
19,2,445.7,13,0.0014047000214787576,80
