individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,168.3,0,0.0009953239841376633,5
0,2,85.8,0,0.0009953239841376633,5
1,1,102.1,10,0.0009682311548960121,8
1,2,211.8,10,0.0009682311548960121,8
2,1,170.1,5,0.0007716571229885548,7
2,2,85.8,5,0.0007716571229885548,7
3,1,86.0,19,0.0017522818363254773,12
3,2,134.3,19,0.0017522818363254773,12
4,1,228.7,0,0.0010596088329202975,10
4,2,85.8,0,0.0010596088329202975,10
5,1,260.5,13,0.0013501725491046894,9
5,2,100.3,13,0.0013501725491046894,9
6,1,174.5,6,0.0015058563463208323,16
6,2,85.8,6,0.0015058563463208323,16
7,1,85.8,0,0.0007435518222678639,10
7,2,295.8,0,0.0007435518222678639,10
8,1,88.1,19,0.00144269386613156,9
8,2,205.4,19,0.00144269386613156,9
9,1,121.3,10,0.0008499534993403693,6
9,2,276.4,10,0.0008499534993403693,6
10,1,253.1,0,0.0006383434151527984,9
10,2,85.8,0,0.0006383434151527984,9
11,1,95.8,5,0.0008332385027588784,7
11,2,204.7,5,0.0008332385027588784,7
12,1,91.6,19,0.0013259455529990888,10
12,2,212.1,19,0.0013259455529990888,10
13,1,192.9,10,0.0013533900530065686,9
13,2,94.4,10,0.0013533900530065686,9
14,1,332.8,7,0.005380509541161114,42
14,2,102.7,7,0.005380509541161114,42
15,1,330.3,16,0.02729951097202154,202
15,2,112.8,16,0.02729951097202154,202
16,1,67.8,16,0.001534404780567014,15
16,2,246.0,16,0.001534404780567014,15
17,1,100.3,13,0.0009391779029375924,5
17,2,246.0,13,0.0009391779029375924,5
18,1,99.5,5,0.0005616011967015834,3
18,2,229.4,5,0.0005616011967015834,3
19,1,95.8,6,0.00027461303630766683,4
19,2,228.7,6,0.00027461303630766683,4
