individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,164.4,8,0.00022770398481973433,3
0,2,164.4,8,0.00022770398481973433,3
1,1,85.8,10,0.0008584900235754125,5
1,2,85.8,10,0.0008584900235754125,5
2,1,197.8,18,0.0005538630218260633,4
2,2,251.1,18,0.0005538630218260633,4
3,1,165.5,19,0.00030672497311243023,2
3,2,179.1,19,0.00030672497311243023,2
4,1,103.2,4,0.0004996837444655281,3
4,2,103.2,4,0.0004996837444655281,3
5,1,171.3,20,0.0004981941068062403,3
5,2,226.0,20,0.0004981941068062403,3
6,1,182.7,16,0.0004253053774926881,7
6,2,194.3,16,0.0004253053774926881,7
7,1,171.3,20,0.0008471975633186405,7
7,2,182.7,20,0.0008471975633186405,7
8,1,164.4,8,0.00044850784888735554,5
8,2,138.3,8,0.00044850784888735554,5
9,1,103.2,4,0.0006589735850587003,6
9,2,161.4,4,0.0006589735850587003,6
10,1,146.3,19,0.00031249634414841473,3
10,2,179.1,19,0.00031249634414841473,3
11,1,103.2,4,0.0008334065389917444,10
11,2,153.0,4,0.0008334065389917444,10
12,1,109.8,20,0.000852968934354625,8
12,2,182.7,20,0.000852968934354625,8
13,1,197.8,18,0.0009051665185891679,9
13,2,112.5,18,0.0009051665185891679,9
14,1,112.6,18,0.0008557340875536838,8
14,2,251.1,18,0.0008557340875536838,8
15,1,150.4,18,0.0007461120705247361,6
15,2,251.1,18,0.0007461120705247361,6
16,1,226.0,18,0.001143211467359742,13
16,2,112.5,18,0.001143211467359742,13
17,1,279.4,2,0.0004973220200280755,10
17,2,131.8,2,0.0004973220200280755,10
18,1,189.0,2,0.005032569605109888,51
18,2,128.0,2,0.005032569605109888,51
19,1,96.4,2,0.03540156370122422,259
19,2,286.0,2,0.03540156370122422,259
