individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,214.7,8,0.0008050221023863239,4
0,2,214.7,8,0.0008050221023863239,4
1,1,221.7,13,0.0008887352032402382,6
1,2,221.7,13,0.0008887352032402382,6
2,1,180.0,4,0.0006082191529558501,3
2,2,254.6,4,0.0006082191529558501,3
3,1,207.7,5,0.0002697591665291,3
3,2,207.7,5,0.0002697591665291,3
4,1,278.0,0,0.0018225064156115718,8
4,2,267.4,0,0.0018225064156115718,8
5,1,166.6,12,0.0005602650618883492,4
5,2,158.7,12,0.0005602650618883492,4
6,1,264.7,14,0.0010802139037433154,5
6,2,190.2,14,0.0010802139037433154,5
7,1,214.7,8,0.0011214989269795852,7
7,2,214.7,8,0.0011214989269795852,7
8,1,207.7,5,0.0007176163772763124,7
8,2,185.3,5,0.0007176163772763124,7
9,1,207.7,5,0.0015246611273134134,7
9,2,207.7,5,0.0015246611273134134,7
10,1,197.9,3,0.0014738898365707367,9
10,2,189.3,3,0.0014738898365707367,9
11,1,180.0,4,0.001054072892019296,5
11,2,254.6,4,0.001054072892019296,5
12,1,180.0,4,0.0012733242289176918,7
12,2,254.6,4,0.0012733242289176918,7
13,1,180.0,4,0.0010092503197384063,8
13,2,254.6,4,0.0010092503197384063,8
14,1,147.6,4,0.001761497659698287,8
14,2,254.6,4,0.001761497659698287,8
15,1,145.4,4,0.0021882938225039144,12
15,2,214.2,4,0.0021882938225039144,12
16,1,138.6,3,0.00533354677018354,30
16,2,275.9,3,0.00533354677018354,30
17,1,177.3,3,0.004958203895556011,30
17,2,290.1,3,0.004958203895556011,30
18,1,428.3,14,0.01750447800516584,105
18,2,176.1,14,0.01750447800516584,105
19,1,471.9,14,0.0488933849583715,247
19,2,169.8,14,0.0488933849583715,247
