,Iteration,LWT,Hamming_distance
0,34,149.60000000000002,0.15386464263124588
1,35,217.0,0.15568627450980396
2,2,114.3,0.15370651486401013
3,621,175.2,0.15243516761543335
4,777,162.8,0.1501075268817205
5,590,159.2,0.15450347881087925
6,631,172.39999999999998,0.1541366223908918
7,92,87.8,0.1480012650221379
8,395,137.10000000000002,0.14954459203036027
9,456,219.0,0.1526122707147376
10,731,175.7,0.15129032258064518
11,11,66.8,0.15276407337128395
12,676,178.5,0.15526881720430105
13,13,138.0,0.15385199240986722
14,162,135.0,0.14953194180898163
15,15,127.00000000000001,0.15103099304237821
16,50,167.60000000000002,0.1509171410499684
17,259,122.60000000000001,0.14972802024035423
18,18,96.50000000000001,0.15244781783681213
19,19,109.50000000000001,0.1559076533839341
