,Iteration,LWT,Hamming_distance
0,0,0.0,0.046944971537001896
1,227,0.0,0.04766603415559775
2,122,0.0,0.04762808349146111
3,611,0.0,0.04779253636938645
4,402,0.0,0.04764073371283993
5,147,0.0,0.047362428842504786
6,768,0.0,0.04784313725490194
7,750,0.0,0.04819734345351043
8,141,0.0,0.04794433902593293
9,237,0.0,0.04718532574320048
10,294,0.0,0.04703352308665409
11,159,0.0,0.04761543327008221
12,518,0.0,0.04710942441492727
13,529,0.0,0.04707147375079056
14,14,0.0,0.052220113851992364
15,65,0.0,0.04676786843769767
16,563,0.0,0.047463630613535736
17,231,0.0,0.046628716002530025
18,545,0.0,0.047349778621125875
19,19,0.0,0.04839974699557239
