individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,203.8,19,0.0011121673050979997,7
0,2,199.9,19,0.0011121673050979997,7
1,1,95.8,9,0.0006926637862278496,4
1,2,170.5,9,0.0006926637862278496,4
2,1,100.3,5,0.001143483728597803,11
2,2,173.3,5,0.001143483728597803,11
3,1,285.9,15,0.0024046736477567766,14
3,2,89.8,15,0.0024046736477567766,14
4,1,251.1,12,0.0011724788414376782,12
4,2,92.9,12,0.0011724788414376782,12
5,1,95.8,9,0.0008178599968902662,7
5,2,123.6,9,0.0008178599968902662,7
6,1,89.3,5,0.001869067018167269,11
6,2,182.7,5,0.001869067018167269,11
7,1,84.9,9,0.0010225543620256262,6
7,2,197.8,9,0.0010225543620256262,6
8,1,103.2,5,0.0004955821005535908,7
8,2,252.4,5,0.0004955821005535908,7
9,1,85.8,19,0.0010688699690962224,13
9,2,239.3,19,0.0010688699690962224,13
10,1,197.8,19,0.001228398747286339,10
10,2,103.2,19,0.001228398747286339,10
11,1,87.5,19,0.0015031464961857547,12
11,2,252.4,19,0.0015031464961857547,12
12,1,95.8,9,0.00012586268348475384,5
12,2,246.0,9,0.00012586268348475384,5
13,1,239.8,13,0.0037234071140018073,28
13,2,71.1,13,0.0037234071140018073,28
14,1,242.3,12,0.00020574654137828425,3
14,2,85.8,12,0.00020574654137828425,3
15,1,320.8,4,0.020799235626574136,177
15,2,100.1,4,0.020799235626574136,177
16,1,243.4,20,0.00040498433753416826,4
16,2,75.6,20,0.00040498433753416826,4
17,1,96.8,15,0.0004025070438732678,3
17,2,285.9,15,0.0004025070438732678,3
18,1,285.9,4,0.00025431043070380736,4
18,2,93.8,4,0.00025431043070380736,4
19,1,117.9,13,0.0014946007547733814,12
19,2,279.4,13,0.0014946007547733814,12
