individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,91.5,20,2.8826488457803263e-05,5
0,2,211.8,20,2.8826488457803263e-05,5
1,1,203.0,14,0.0001269061933250114,9
1,2,197.2,14,0.0001269061933250114,9
2,1,211.8,20,3.710480837653756e-05,3
2,2,211.8,20,3.710480837653756e-05,3
3,1,211.8,20,2.087892788891263e-05,4
3,2,211.8,20,2.087892788891263e-05,4
4,1,166.7,17,8.437531767815389e-05,6
4,2,199.2,17,8.437531767815389e-05,6
5,1,168.2,15,7.880349122916272e-05,6
5,2,168.2,15,7.880349122916272e-05,6
6,1,203.0,14,0.00014963762133804527,15
6,2,197.2,14,0.00014963762133804527,15
7,1,91.5,20,3.797561929037417e-05,6
7,2,211.8,20,3.797561929037417e-05,6
8,1,203.0,14,3.107265809434936e-05,7
8,2,126.2,14,3.107265809434936e-05,7
9,1,168.2,15,0.00010505180495478254,7
9,2,186.1,15,0.00010505180495478254,7
10,1,269.9,15,3.916161773163337e-05,4
10,2,168.2,15,3.916161773163337e-05,4
11,1,89.3,17,1.8647707201890774e-05,4
11,2,199.2,17,1.8647707201890774e-05,4
12,1,98.0,11,9.386330520822743e-05,7
12,2,200.6,11,9.386330520822743e-05,7
13,1,98.0,6,0.0006587660651775502,61
13,2,185.1,6,0.0006587660651775502,61
14,1,116.8,18,6.795571679880077e-05,6
14,2,168.2,18,6.795571679880077e-05,6
15,1,98.0,11,9.37094486818972e-05,7
15,2,185.3,11,9.37094486818972e-05,7
16,1,250.7,18,1.324094899137299e-05,3
16,2,153.8,18,1.324094899137299e-05,3
17,1,90.7,0,0.0011974061922654354,104
17,2,252.0,0,0.0011974061922654354,104
18,1,260.4,0,4.682388867214989e-05,9
18,2,168.2,0,4.682388867214989e-05,9
19,1,250.7,6,5.8961065365456944e-05,4
19,2,166.7,6,5.8961065365456944e-05,4
