individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,106.0,14,0.001063370859298299,8
0,2,95.8,14,0.001063370859298299,8
1,1,160.8,1,0.0007141561167209452,10
1,2,229.4,1,0.0007141561167209452,10
2,1,118.4,1,0.001082064712951219,10
2,2,96.8,1,0.001082064712951219,10
3,1,95.8,12,0.0011750327085717834,9
3,2,197.8,12,0.0011750327085717834,9
4,1,230.0,3,0.0005763678237981988,9
4,2,136.4,3,0.0005763678237981988,9
5,1,164.7,7,0.0009614565295583178,8
5,2,153.8,7,0.0009614565295583178,8
6,1,91.7,3,0.00030618045063630786,5
6,2,206.8,3,0.00030618045063630786,5
7,1,106.0,7,0.0011256371462456203,12
7,2,180.4,7,0.0011256371462456203,12
8,1,250.1,14,0.0007763522113178288,7
8,2,85.8,14,0.0007763522113178288,7
9,1,103.5,2,0.0017920582105871194,13
9,2,246.8,2,0.0017920582105871194,13
10,1,212.3,14,0.0005865102639296188,5
10,2,85.8,14,0.0005865102639296188,5
11,1,92.5,2,0.0007704461276900953,9
11,2,285.9,2,0.0007704461276900953,9
12,1,234.5,1,0.0003330407234037816,5
12,2,100.3,1,0.0003330407234037816,5
13,1,239.8,12,6.931317352307672e-05,2
13,2,92.5,12,6.931317352307672e-05,2
14,1,100.3,10,0.0009550917141049967,6
14,2,285.9,10,0.0009550917141049967,6
15,1,119.6,7,0.0011584035026408277,10
15,2,285.9,7,0.0011584035026408277,10
16,1,227.8,2,0.000657646311523152,5
16,2,105.3,2,0.000657646311523152,5
17,1,228.1,7,0.0014496918307661014,16
17,2,85.8,7,0.0014496918307661014,16
18,1,294.0,20,0.034096213576462614,281
18,2,77.2,20,0.034096213576462614,281
19,1,153.8,7,0.0003795066413662239,2
19,2,287.8,7,0.0003795066413662239,2
