,Unnamed: 0,Installation,Mutation,Exec,Hamming_dist,Num_changes,LWT_diff
0,1643,CiuComs_Febrero_miercoles_oest,1_mass_capacity,43,0.1485199240986716,1030,152.39999999999998
1,1647,CiuComs_Febrero_miercoles_oest,1_mass_capacity,47,0.154010120177103,1037,194.6
2,1704,CiuComs_Febrero_miercoles_oest,1_mass_capacity,104,0.147438330170778,1024,119.1
3,1812,CiuComs_Febrero_miercoles_oest,1_mass_capacity,212,0.151258697027198,1040,171.39999999999998
4,1814,CiuComs_Febrero_miercoles_oest,1_mass_capacity,214,0.1543390259329538,1031,224.0
5,1964,CiuComs_Febrero_miercoles_oest,1_mass_capacity,364,0.1528842504743831,1040,177.59999999999997
6,2050,CiuComs_Febrero_miercoles_oest,1_mass_capacity,450,0.150809614168248,1031,158.39999999999998
7,2079,CiuComs_Febrero_miercoles_oest,1_mass_capacity,479,0.1521378874130297,1036,173.0
8,2318,CiuComs_Febrero_miercoles_oest,1_mass_capacity,718,0.1497469955724227,1041,152.60000000000002
