individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,177.2,13,0.0016228629218504307,6
0,2,213.7,13,0.0016228629218504307,6
1,1,178.0,2,0.0009874255680671791,7
1,2,178.0,2,0.0009874255680671791,7
2,1,200.4,8,0.0021475007045083532,13
2,2,249.3,8,0.0021475007045083532,13
3,1,178.0,2,0.0015256065858608092,7
3,2,133.9,2,0.0015256065858608092,7
4,1,152.2,2,0.0005490662971541197,3
4,2,267.6,2,0.0005490662971541197,3
5,1,147.2,18,0.0010528948206546841,6
5,2,280.9,18,0.0010528948206546841,6
6,1,146.4,18,0.002014163535981618,10
6,2,357.8,18,0.002014163535981618,10
7,1,287.4,6,0.001444315493014112,9
7,2,140.4,6,0.001444315493014112,9
8,1,167.6,13,0.0012249090809042383,5
8,2,213.7,13,0.0012249090809042383,5
9,1,153.4,6,0.0015561964219313034,11
9,2,204.9,6,0.0015561964219313034,11
10,1,165.8,19,0.004882465495765446,28
10,2,350.0,19,0.004882465495765446,28
11,1,358.2,19,0.006576219466441223,39
11,2,159.6,19,0.006576219466441223,39
12,1,335.7,11,0.0018270944741532976,6
12,2,179.7,11,0.0018270944741532976,6
13,1,166.0,10,0.0008801868906419613,9
13,2,442.3,10,0.0008801868906419613,9
14,1,168.9,10,0.032320734723007324,182
14,2,419.2,10,0.032320734723007324,182
15,1,277.9,6,0.0012271526690444865,7
15,2,153.1,6,0.0012271526690444865,7
16,1,149.6,18,0.0012700534759358289,4
16,2,371.3,18,0.0012700534759358289,4
17,1,123.5,11,0.00020091077505923703,3
17,2,235.7,11,0.00020091077505923703,3
18,1,213.7,13,0.00032620320855614973,3
18,2,126.5,13,0.00032620320855614973,3
19,1,148.4,8,0.0019101997802267433,20
19,2,339.0,8,0.0019101997802267433,20
