run,iteration,timestamp,archive_len,total_seeds,covered_seeds,final seeds,LWT_min,LWT_max,LWT_avg,LWT_std,members_dist_min,members_dist_max,members_dist_avg,members_dist_std,changes_mean,changes_std
26,1,0:07:38.094616,16,8,8,8,0.0,121.00000000000003,57.70625000000001,37.03926073691942,0.00025705998560276907,0.0015419564848550076,0.0007563303751157199,0.00038541044441554927,6.5,2.5
26,2,0:12:31.625986,20,8,8,8,0.0,121.00000000000003,58.80500000000001,35.07498360655355,0.00025705998560276907,0.0018800624017085525,0.0008905897653455544,0.0004624676772031797,7.35,3.004579837514723
26,3,0:17:16.546415,20,8,8,8,0.0,143.8,65.625,37.58757607242053,0.00025705998560276907,0.0018800624017085525,0.0009224453228178102,0.0004870453823435468,7.6,3.1685959035509725
26,4,0:22:01.724652,20,8,8,8,0.0,153.60000000000002,67.81000000000002,40.17725600386368,0.00025705998560276907,0.0022888392532072767,0.0009911738436926961,0.0005624690168637274,8.25,3.897114317029974
26,5,0:26:47.602412,20,8,8,8,0.0,153.60000000000002,68.13500000000002,40.418217118027364,0.00025705998560276907,0.00247624361169847,0.0010378882000348691,0.000639759875848067,8.65,4.519679192155125
26,6,0:31:42.082431,20,8,8,8,0.0,153.60000000000002,68.13500000000002,40.418217118027364,0.00025705998560276907,0.00247624361169847,0.0010378882000348691,0.000639759875848067,8.65,4.519679192155125
26,7,0:36:26.544672,20,8,8,8,0.0,153.60000000000002,68.13500000000002,40.418217118027364,0.00025705998560276907,0.00247624361169847,0.0010378882000348691,0.000639759875848067,8.65,4.519679192155125
26,8,0:41:21.138118,20,8,8,8,0.0,153.60000000000002,68.13500000000002,40.418217118027364,0.00025705998560276907,0.00247624361169847,0.0010378882000348691,0.000639759875848067,8.65,4.519679192155125
26,9,0:46:16.115179,20,8,8,8,0.0,153.60000000000002,68.13500000000002,40.418217118027364,0.00025705998560276907,0.00247624361169847,0.0010378882000348691,0.000639759875848067,8.65,4.519679192155125
26,10,0:51:10.641105,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,11,0:56:06.458893,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,12,1:01:00.592601,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,13,1:05:55.998481,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,14,1:10:50.521851,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,15,1:15:45.444299,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,16,1:20:39.522103,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,17,1:25:34.981433,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,18,1:30:30.420449,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,19,1:35:25.599650,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,20,1:40:19.819725,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,21,1:45:13.618426,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,22,1:50:08.731798,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,23,1:55:04.015112,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,24,1:59:49.393359,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,25,2:04:34.996931,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,26,2:09:19.500374,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
26,27,2:14:14.733647,20,8,8,8,0.0,158.60000000000002,68.38500000000002,40.9579329922788,0.00025705998560276907,0.004212841357276157,0.001159428027351761,0.0009331927419226799,9.6,7.045565981523414
