individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,199.6,9,0.00025705998560276907,3
0,2,199.6,9,0.00025705998560276907,3
1,1,103.1,11,0.000828298804723534,6
1,2,170.3,11,0.000828298804723534,6
2,1,196.3,8,0.0003443055321285632,7
2,2,179.9,8,0.0003443055321285632,7
3,1,144.6,3,0.00026737967914438503,3
3,2,203.5,3,0.00026737967914438503,3
4,1,145.4,20,0.00041434048153795835,4
4,2,85.8,20,0.00041434048153795835,4
5,1,101.0,6,0.0008276869259515371,7
5,2,166.1,6,0.0008276869259515371,7
6,1,234.3,7,0.0005439595192915875,3
6,2,113.3,7,0.0005439595192915875,3
7,1,131.3,5,0.001078116215985691,5
7,2,197.8,5,0.001078116215985691,5
8,1,196.3,8,0.00034851707315482216,8
8,2,169.6,8,0.00034851707315482216,8
9,1,131.3,5,0.0012317169311252096,8
9,2,185.3,5,0.0012317169311252096,8
10,1,234.3,7,0.000730262779598643,5
10,2,158.7,7,0.000730262779598643,5
11,1,196.3,8,0.000545023748766405,10
11,2,112.5,8,0.000545023748766405,10
12,1,101.0,6,0.001326220650291713,10
12,2,101.0,6,0.001326220650291713,10
13,1,131.3,5,0.0013076182593984543,9
13,2,185.3,5,0.0013076182593984543,9
14,1,75.7,11,0.0015648313919476328,13
14,2,170.3,11,0.0015648313919476328,13
15,1,101.0,6,0.0010039335367777072,9
15,2,175.4,6,0.0010039335367777072,9
16,1,157.4,11,0.0022888392532072767,17
16,2,111.0,11,0.0022888392532072767,17
17,1,212.1,11,0.00247624361169847,19
17,2,111.0,11,0.00247624361169847,19
18,1,234.3,7,0.004212841357276157,34
18,2,75.7,7,0.004212841357276157,34
19,1,282.3,7,0.010687288753817059,90
19,2,96.0,7,0.010687288753817059,90
