,Unnamed: 0,Installation,Mutation,Exec,Hamming_dist,Num_changes,LWT_diff
0,1079,CiuComs_Febrero_miercoles_oest,1_mass,279,0.0479569892473118,508,21.5
1,1176,CiuComs_Febrero_miercoles_oest,1_mass,376,0.0490955091714104,507,25.700000000000003
2,1379,CiuComs_Febrero_miercoles_oest,1_mass,579,0.0454648956356736,505,0.0
