individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,164.0,18,0.000955758542893303,5
0,2,185.3,18,0.000955758542893303,5
1,1,217.5,20,0.0006935288614978264,4
1,2,265.2,20,0.0006935288614978264,4
2,1,246.9,7,0.0004905295735098189,4
2,2,214.5,7,0.0004905295735098189,4
3,1,186.6,19,0.0012227780473529663,10
3,2,154.4,19,0.0012227780473529663,10
4,1,140.4,3,0.00032730791100350336,4
4,2,184.6,3,0.00032730791100350336,4
5,1,215.8,0,0.0022974967859411815,10
5,2,147.3,0,0.0022974967859411815,10
6,1,264.8,12,0.0009008952675380893,6
6,2,272.8,12,0.0009008952675380893,6
7,1,246.9,7,0.001164008710891449,7
7,2,214.5,7,0.001164008710891449,7
8,1,140.4,3,0.00033033437884040425,5
8,2,184.6,3,0.00033033437884040425,5
9,1,215.8,0,0.003130357390000817,16
9,2,224.5,0,0.003130357390000817,16
10,1,264.8,12,0.0015871697773420111,9
10,2,272.8,12,0.0015871697773420111,9
11,1,238.9,7,0.0009789431207468957,7
11,2,214.5,7,0.0009789431207468957,7
12,1,238.9,7,0.0010858949924046496,8
12,2,214.5,7,0.0010858949924046496,8
13,1,238.9,7,0.0017436490030998367,10
13,2,214.5,7,0.0017436490030998367,10
14,1,140.4,3,0.0018337677106730096,13
14,2,147.7,3,0.0018337677106730096,13
15,1,234.4,3,0.00168136129356071,13
15,2,140.4,3,0.00168136129356071,13
16,1,167.9,10,0.0033164034556760033,21
16,2,177.8,10,0.0033164034556760033,21
17,1,300.5,7,0.0028063168970283918,19
17,2,214.5,7,0.0028063168970283918,19
18,1,148.4,0,0.007804546038161841,46
18,2,474.7,0,0.007804546038161841,46
19,1,487.1,10,0.032175957839552176,167
19,2,175.4,10,0.032175957839552176,167
