,Iteration,LWT
0,1,86.14999999999999
1,2,104.69999999999999
2,3,97.46666666666665
3,4,97.46666666666665
4,5,97.46666666666665
5,6,97.46666666666665
6,7,102.86666666666666
7,8,102.86666666666666
8,9,102.86666666666666
9,10,102.86666666666666
10,11,112.02499999999999
11,12,112.025
12,13,112.025
13,14,112.025
14,15,127.12499999999999
15,16,127.12499999999999
16,17,127.12499999999999
17,18,127.12499999999999
18,19,127.12499999999999
19,20,127.12499999999999
20,21,131.0
21,22,123.75999999999999
22,23,123.75999999999999
23,24,123.75999999999999
24,25,123.75999999999999
25,26,123.75999999999999
26,27,123.75999999999999
27,28,123.75999999999999
28,29,123.75999999999999
29,30,125.55999999999999
30,31,131.41666666666666
31,32,131.41666666666666
32,33,131.41666666666666
33,34,131.41666666666666
34,35,131.41666666666666
35,36,131.41666666666666
36,37,131.41666666666666
37,38,131.41666666666666
38,39,131.41666666666666
39,40,131.41666666666666
40,41,131.41666666666666
41,42,131.41666666666666
42,43,131.41666666666666
43,44,131.41666666666666
44,45,131.41666666666666
45,46,131.41666666666666
46,47,131.41666666666666
47,48,131.41666666666666
48,49,131.41666666666666
49,50,131.41666666666666
50,51,131.41666666666666
51,52,131.41666666666666
52,53,131.41666666666666
53,54,131.41666666666666
54,55,131.41666666666666
55,56,131.41666666666666
56,57,131.41666666666666
57,58,131.41666666666666
58,59,131.41666666666666
59,60,131.41666666666666
60,61,142.13333333333333
61,62,142.13333333333333
62,63,142.13333333333333
63,64,142.13333333333333
64,65,142.13333333333333
65,66,142.13333333333333
66,67,144.63333333333333
67,68,144.63333333333333
68,69,144.63333333333333
69,70,144.6333333333333
70,71,144.6333333333333
71,72,144.6333333333333
72,73,144.6333333333333
73,74,144.6333333333333
74,75,144.6333333333333
75,76,144.6333333333333
76,77,144.6333333333333
77,78,144.6333333333333
78,79,144.6333333333333
79,80,144.6333333333333
80,81,144.6333333333333
81,82,144.6333333333333
82,83,144.6333333333333
83,84,144.6333333333333
84,85,144.6333333333333
85,86,144.6333333333333
86,87,144.6333333333333
87,88,154.6
88,89,154.6
89,90,154.6
90,91,154.6
91,92,154.6
92,93,154.6
93,94,154.6
94,95,154.6
95,96,154.6
96,97,154.6
97,98,154.6
98,99,154.6
99,100,155.4
