,Iteration,LWT
0,1,49.199999999999996
1,2,43.75
2,3,49.315000000000005
3,4,51.184999999999995
4,5,57.36999999999999
5,6,58.69499999999999
6,7,58.874999999999986
7,8,65.38499999999999
8,9,66.30499999999999
9,10,67.17499999999998
10,11,67.17499999999998
11,12,70.02
12,13,72.715
13,14,72.715
14,15,72.715
15,16,72.715
16,17,72.715
17,18,74.57
18,19,74.57
19,20,74.57
20,21,74.57
21,22,74.57
22,23,74.57
23,24,77.78999999999999
24,25,77.78999999999999
25,26,77.78999999999999
26,27,77.78999999999999
27,28,77.78999999999999
28,29,77.78999999999999
29,30,77.78999999999999
30,31,77.78999999999999
31,32,80.18499999999999
32,33,80.18499999999999
33,34,80.18499999999999
34,35,80.18499999999999
35,36,80.18499999999999
36,37,80.18499999999999
37,38,80.18499999999999
38,39,80.96
39,40,80.96
40,41,80.96
41,42,80.96
42,43,80.96
43,44,80.96
44,45,80.96
45,46,81.785
46,47,81.785
47,48,81.785
48,49,81.785
49,50,81.785
50,51,81.785
51,52,81.785
52,53,81.785
53,54,84.05999999999999
54,55,84.46
55,56,86.69
56,57,86.69
57,58,86.69
58,59,86.69
59,60,86.69
60,61,86.69
61,62,86.69
62,63,86.69
63,64,86.69
64,65,86.69
65,66,86.69
66,67,86.69
67,68,86.69
68,69,86.69
69,70,86.69
70,71,86.69
71,72,86.69
72,73,86.69
73,74,86.69
74,75,86.69
75,76,86.69
76,77,86.69
77,78,88.945
78,79,88.945
79,80,88.945
80,81,89.93499999999999
81,82,89.93499999999999
82,83,90.92499999999998
83,84,90.92499999999998
84,85,93.38999999999999
85,86,93.38999999999999
86,87,93.38999999999999
87,88,93.38999999999999
88,89,93.38999999999999
89,90,93.38999999999999
90,91,93.38999999999999
91,92,93.38999999999999
92,93,93.38999999999999
93,94,93.38999999999999
94,95,94.38
95,96,94.38
96,97,94.38
97,98,95.10999999999999
98,99,95.10999999999999
99,100,95.10999999999999
