individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,95.8,9,0.0005230266005610709,5
0,2,95.8,9,0.0005230266005610709,5
1,1,252.4,5,0.0009515650802557356,8
1,2,173.3,5,0.0009515650802557356,8
2,1,173.3,15,0.001282847449830372,5
2,2,96.8,15,0.001282847449830372,5
3,1,173.3,13,5.4500460539810365e-05,3
3,2,173.3,13,5.4500460539810365e-05,3
4,1,103.2,19,0.000528914249834144,5
4,2,134.6,19,0.000528914249834144,5
5,1,239.8,4,0.0005821150883703965,4
5,2,93.8,4,0.0005821150883703965,4
6,1,171.8,20,0.0004718138362735775,5
6,2,148.7,20,0.0004718138362735775,5
7,1,252.4,5,0.0012867959467959002,10
7,2,173.3,5,0.0012867959467959002,10
8,1,95.8,9,0.0006537403553760711,7
8,2,95.8,9,0.0006537403553760711,7
9,1,173.3,15,0.0014346501063768617,6
9,2,96.8,15,0.0014346501063768617,6
10,1,126.5,13,0.00010797639636868738,5
10,2,173.3,13,0.00010797639636868738,5
11,1,136.8,20,0.0006673172575834504,7
11,2,148.7,20,0.0006673172575834504,7
12,1,85.8,12,0.0013414403371047898,7
12,2,141.4,12,0.0013414403371047898,7
13,1,239.8,4,0.001692382945924735,12
13,2,196.5,4,0.001692382945924735,12
14,1,85.8,12,0.0018237787718621697,13
14,2,168.1,12,0.0018237787718621697,13
15,1,85.8,12,0.0013976963154191822,12
15,2,153.9,12,0.0013976963154191822,12
16,1,201.5,5,0.0025915150494171873,25
16,2,173.3,5,0.0025915150494171873,25
17,1,203.8,12,0.002967351127165071,26
17,2,89.6,12,0.002967351127165071,26
18,1,196.0,12,0.002680723854714314,23
18,2,89.6,12,0.002680723854714314,23
19,1,326.9,4,0.01199805432476696,98
19,2,93.5,4,0.01199805432476696,98
