,Iteration,LWT,Hamming_distance
0,100,167.0,0.1511511701454775
1,67,142.8,0.15133459835547128
2,634,120.50000000000001,0.14900695762175845
3,253,167.39999999999998,0.1508032890575585
4,147,126.00000000000001,0.14884250474383293
5,394,162.5,0.15402909550917143
6,202,201.7,0.15370018975332062
7,231,141.3,0.15188488298545227
8,8,200.39999999999998,0.1463820366856421
9,725,175.3,0.15354838709677426
10,146,133.2,0.15179633143580007
11,89,145.89999999999998,0.15101201771030973
12,153,130.8,0.152460468058191
13,13,178.2,0.15428842504743828
14,91,151.8,0.15162555344718526
15,301,123.2,0.15135357368753943
16,537,154.89999999999998,0.15060088551549652
17,177,39.5,0.14931056293485132
18,18,149.8,0.15654648956356748
19,163,135.5,0.15352941176470597
