individual,member,LWT,Seed,Dist to member,# of different params w.r.t other member
0,1,168.2,6,8.89835182308689e-05,9
0,2,168.2,6,8.89835182308689e-05,9
1,1,168.2,13,5.6597165830597525e-05,4
1,2,168.2,13,5.6597165830597525e-05,4
2,1,166.7,7,8.966185449877098e-05,9
2,2,142.6,7,8.966185449877098e-05,9
3,1,168.2,3,5.235335976415575e-05,5
3,2,168.2,3,5.235335976415575e-05,5
4,1,98.0,14,8.39137480991632e-05,11
4,2,151.8,14,8.39137480991632e-05,11
5,1,120.1,6,2.2380113857594406e-05,4
5,2,168.2,6,2.2380113857594406e-05,4
6,1,226.3,19,8.403646098065128e-05,8
6,2,168.2,19,8.403646098065128e-05,8
7,1,250.7,3,5.5911355087933314e-05,3
7,2,168.2,3,5.5911355087933314e-05,3
8,1,268.6,3,3.1143644842159586e-08,2
8,2,168.2,3,3.1143644842159586e-08,2
9,1,168.2,19,8.056255349794754e-05,8
9,2,133.0,19,8.056255349794754e-05,8
10,1,260.4,13,3.6277598565479976e-05,4
10,2,168.2,13,3.6277598565479976e-05,4
11,1,100.0,11,0.00013187006814344374,12
11,2,142.6,11,0.00013187006814344374,12
12,1,250.7,19,5.218891439857917e-05,4
12,2,168.2,19,5.218891439857917e-05,4
13,1,98.0,14,7.642339699898537e-05,7
13,2,217.0,14,7.642339699898537e-05,7
14,1,249.3,14,0.0017789191591413543,176
14,2,83.6,14,0.0017789191591413543,176
15,1,142.6,11,1.0217399375516767e-05,4
15,2,268.6,11,1.0217399375516767e-05,4
16,1,98.0,14,9.640473043949714e-05,6
16,2,258.9,14,9.640473043949714e-05,6
17,1,98.0,14,8.573946468872022e-05,6
17,2,249.3,14,8.573946468872022e-05,6
18,1,112.0,7,3.456338314526786e-05,3
18,2,186.2,7,3.456338314526786e-05,3
19,1,107.4,20,0.0024723071644372845,211
19,2,211.2,20,0.0024723071644372845,211
