run,iteration,timestamp,archive_len,total_seeds,covered_seeds,final seeds,LWT_min,LWT_max,LWT_avg,LWT_std,members_dist_min,members_dist_max,members_dist_avg,members_dist_std,changes_mean,changes_std
20,1,1:13:08.271936,20,8,8,8,0.0,100.1,14.104999999999999,28.31126056889731,1.932479772399918e-05,8.966185449877098e-05,5.21149759253189e-05,2.0992873476058418e-05,5.25,2.2332711434127295
20,2,2:00:14.968039,20,8,8,8,0.0,100.1,17.435,30.46747897348909,1.932479772399918e-05,8.966185449877098e-05,5.214039017763161e-05,2.0992854096124654e-05,5.25,2.2332711434127295
20,3,2:47:52.281196,20,8,8,8,0.0,119.0,27.419999999999998,37.89227625783386,1.932479772399918e-05,8.966185449877098e-05,4.95612797519409e-05,2.0970616829527987e-05,5.0,2.2135943621178655
20,4,3:34:59.001537,20,8,8,8,0.0,119.0,27.419999999999998,37.89227625783386,1.932479772399918e-05,8.966185449877098e-05,4.95612797519409e-05,2.0970616829527987e-05,5.0,2.2135943621178655
20,5,4:22:15.383635,20,8,8,8,0.0,119.0,27.984999999999996,37.54244631080932,1.2200086855888228e-05,8.966185449877098e-05,4.989263048499606e-05,2.1596640877087074e-05,5.15,2.2643983748448506
20,6,5:09:32.940802,20,8,8,8,0.0,119.0,30.889999999999997,37.51244993332213,1.2200086855888228e-05,8.966185449877098e-05,5.121370445058367e-05,2.2803025751130932e-05,5.3,2.3473389188611002
20,7,5:56:39.277617,20,8,8,8,0.0,119.0,38.30500000000001,36.16628920693966,9.198337791421517e-06,8.966185449877098e-05,5.092094207764993e-05,2.3377688530136385e-05,5.4,2.2891046284519194
20,8,6:43:47.176711,20,8,8,8,0.0,119.0,38.88,36.72256254675047,9.198337791421517e-06,0.00030807679659060295,6.370649104607547e-05,6.0740417770157496e-05,6.4,4.841487374764082
20,9,7:30:54.555100,20,8,8,8,0.0,119.0,38.88,36.72256254675047,9.198337791421517e-06,0.00030807679659060295,6.370649104607547e-05,6.0740417770157496e-05,6.4,4.841487374764082
20,10,8:17:52.500679,20,8,8,8,0.0,119.0,38.88,36.72256254675047,9.198337791421517e-06,0.00030807679659060295,6.370649104607547e-05,6.0740417770157496e-05,6.4,4.841487374764082
20,11,9:05:01.344043,20,8,8,8,0.0,119.0,41.21,38.23800334745526,1.2200086855888228e-05,0.00030807679659060295,6.452560247135257e-05,6.0089805885904965e-05,6.25,4.928234978164089
20,12,9:52:09.223393,20,8,8,8,0.0,119.0,42.49,37.25287774118934,1.2200086855888228e-05,0.00030807679659060295,6.576345715751696e-05,5.9470816416512396e-05,6.4,4.872371086031934
20,13,10:39:08.526107,20,8,8,8,0.0,119.0,45.335,38.01919613826678,1.2200086855888228e-05,0.00030807679659060295,6.537386538632347e-05,5.9613683089986566e-05,6.35,4.881342028581893
20,14,11:26:15.951317,20,8,8,8,0.0,119.0,45.335,38.01919613826678,1.2200086855888228e-05,0.00030807679659060295,6.537386538632347e-05,5.9613683089986566e-05,6.35,4.881342028581893
20,15,12:13:24.431926,20,8,8,8,0.0,119.0,45.335,38.01919613826678,1.2200086855888228e-05,0.00030807679659060295,6.537386538632347e-05,5.9613683089986566e-05,6.35,4.881342028581893
20,16,13:00:22.630591,20,8,8,8,0.0,119.0,46.230000000000004,39.07945879870907,3.1143644842159586e-08,0.00030807679659060295,6.338351829952332e-05,6.107953414387047e-05,6.2,4.965883607174055
20,17,13:47:31.545363,20,8,8,8,0.0,127.30000000000001,46.644999999999996,39.88578036092562,3.1143644842159586e-08,0.0005047874696011554,8.658944015811693e-05,0.00011361456640652334,8.35,10.1502463024303
20,18,14:34:57.708078,20,8,8,8,0.0,127.30000000000001,46.644999999999996,39.88578036092562,3.1143644842159586e-08,0.0005047874696011554,8.658944015811693e-05,0.00011361456640652334,8.35,10.1502463024303
20,19,15:22:05.080588,20,8,8,8,0.0,127.69999999999999,47.245000000000005,39.795106168975096,3.1143644842159586e-08,0.0005543651900832084,0.0001007091749126491,0.0001475954715940019,9.75,13.497684986693088
20,20,16:09:13.001849,20,8,8,8,0.0,127.69999999999999,47.245000000000005,39.795106168975096,3.1143644842159586e-08,0.0005543651900832084,0.0001007091749126491,0.0001475954715940019,9.75,13.497684986693088
20,21,16:56:20.965893,20,8,8,8,0.0,127.69999999999999,47.44500000000001,39.72395341604358,3.1143644842159586e-08,0.0005543651900832084,0.00010288053613012233,0.00014696231166519576,9.85,13.476924723392944
20,22,17:43:38.531903,20,8,8,8,0.0,127.69999999999999,50.14500000000001,39.66645276552971,3.1143644842159586e-08,0.0005543651900832084,0.00010876131930132468,0.00014562857289318625,10.3,13.383198421901994
20,23,18:30:49.550881,20,8,8,8,0.0,127.69999999999999,50.14500000000001,39.66645276552971,3.1143644842159586e-08,0.0005543651900832084,0.00010876131930132468,0.00014562857289318625,10.3,13.383198421901994
20,24,19:17:57.811743,20,8,8,8,0.0,127.69999999999999,50.14500000000001,39.66645276552971,3.1143644842159586e-08,0.0005543651900832084,0.00010876131930132468,0.00014562857289318625,10.3,13.383198421901994
20,25,20:05:06.082653,20,8,8,8,0.0,127.69999999999999,50.14500000000001,39.66645276552971,3.1143644842159586e-08,0.0005543651900832084,0.00010876131930132468,0.00014562857289318625,10.3,13.383198421901994
20,26,20:52:14.494945,20,8,8,8,0.0,127.69999999999999,52.375,38.003498194245225,3.1143644842159586e-08,0.0005543651900832084,0.00010807516563252672,0.00014595184443512535,10.35,13.361418337886139
20,27,21:39:12.483436,20,8,8,8,0.0,127.69999999999999,52.375,38.003498194245225,3.1143644842159586e-08,0.0005543651900832084,0.00010807516563252672,0.00014595184443512535,10.35,13.361418337886139
20,28,22:26:23.328577,20,8,8,8,0.0,127.69999999999999,52.375,38.003498194245225,3.1143644842159586e-08,0.0005543651900832084,0.00010807516563252672,0.00014595184443512535,10.35,13.361418337886139
20,29,23:13:20.695091,20,8,8,8,0.0,127.69999999999999,53.785000000000004,36.710056864570504,3.1143644842159586e-08,0.0009583782959324528,0.00012728310790255165,0.00021738439016441623,11.85,18.791686991858928
20,30,"1 day, 0:00:28.327032",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,31,"1 day, 0:47:36.900594",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,32,"1 day, 1:34:44.765234",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,33,"1 day, 2:21:51.992910",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,34,"1 day, 3:09:19.874850",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,35,"1 day, 3:56:30.126036",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,36,"1 day, 4:43:37.727159",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,37,"1 day, 5:30:35.278878",20,8,8,8,0.0,127.69999999999999,56.96,38.48162418609693,3.1143644842159586e-08,0.0009583782959324528,0.00012869135639045743,0.0002168587978041222,11.85,18.791686991858928
20,38,"1 day, 6:17:53.108888",20,8,8,8,0.0,127.69999999999999,56.975,38.47042857832494,3.1143644842159586e-08,0.0009583782959324528,0.00012990283137131903,0.00021638349496444284,11.8,18.813824704190267
20,39,"1 day, 7:05:00.922027",20,8,8,8,0.0,160.0,63.395,43.39836949702143,3.1143644842159586e-08,0.0010782706566858015,0.00015859337297481933,0.0002885548902997962,14.9,27.06270496458179
20,40,"1 day, 7:52:28.049090",20,8,8,8,0.0,160.0,63.395,43.39836949702143,3.1143644842159586e-08,0.0010782706566858015,0.00015859337297481933,0.0002885548902997962,14.9,27.06270496458179
20,41,"1 day, 8:39:35.815731",20,8,8,8,0.0,160.0,63.395,43.39836949702143,3.1143644842159586e-08,0.0010782706566858015,0.00015859337297481933,0.0002885548902997962,14.9,27.06270496458179
20,42,"1 day, 9:26:33.392042",20,8,8,8,0.0,160.0,63.395,43.39836949702143,3.1143644842159586e-08,0.0010782706566858015,0.00015859337297481933,0.0002885548902997962,14.9,27.06270496458179
20,43,"1 day, 10:13:50.062428",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,44,"1 day, 11:00:56.777461",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,45,"1 day, 11:48:04.373121",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,46,"1 day, 12:35:02.832495",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,47,"1 day, 13:22:09.543056",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,48,"1 day, 14:09:17.193577",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,49,"1 day, 14:56:25.107035",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,50,"1 day, 15:43:32.142370",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,51,"1 day, 16:30:39.456992",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,52,"1 day, 17:17:37.065601",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
20,53,"1 day, 18:04:44.783974",20,8,8,8,0.0,160.0,70.635,45.33776874748029,3.1143644842159586e-08,0.0010782706566858015,0.0001572973706814511,0.000289021518225791,14.85,27.08002031018441
